param_id,realisation,JSD
3,1,0.001119314749768056
3,2,0.0005747143085516287
3,3,0.0015003064482634
3,4,0.0005323633188772424
3,5,0.001449237205444344
3,6,0.000440697447732791
3,7,0.0003264227998153962
3,8,0.0016614924183931143
3,9,0.00038658914066007545
3,10,0.0037531994719423346
5,1,0.055695281300671896
5,2,0.06499734759400728
5,3,0.0059113256723843325
5,4,0.004072761247693591
5,5,0.09017503435234266
5,6,0.08262140222836878
5,7,0.06506050676205159
5,8,0.05428739068257118
5,9,0.07876991895825018
5,10,0.08336307556953028
8,1,0.0006727093705110498
8,2,0.0006025359417353582
8,3,0.0015021632767606816
8,4,0.0005105085939055704
8,5,0.00042860887824872984
8,6,0.00023117769458604146
8,7,0.00032192621949739204
8,8,0.000691977237087194
8,9,0.0007729943090666444
8,10,0.0004934702480414111
12,1,0.9999999999999998
12,2,1.0
12,3,0.9999999999999998
12,4,0.9999999999999998
12,5,1.0
12,6,0.9999999999999998
12,7,1.0
12,8,0.9999999999999998
12,9,1.0
12,10,0.9999999999999998
13,1,1.0
13,2,1.0
13,3,1.0
13,4,0.9999999999999998
13,5,0.4859902077268379
13,6,0.9999999999999998
13,7,0.7652236379284785
13,8,1.0
13,9,1.0
13,10,1.0
15,1,1.0
15,2,0.9999999999999998
15,3,1.0
15,4,1.0
15,5,0.31448468701987375
15,6,1.0
15,7,0.9307139681905232
15,8,1.0
15,9,1.0
15,10,0.9999999999999998
18,1,1.0
18,2,1.0
18,3,1.0
18,4,1.0
18,5,1.0
18,6,1.0
18,7,1.0
18,8,1.0
18,9,1.0
18,10,1.0
19,1,1.0
19,2,0.9999999999999998
19,3,1.0
19,4,1.0
19,5,1.0
19,6,0.9999999999999998
19,7,1.0
19,8,1.0
19,9,0.9999999999999998
19,10,1.0
20,1,1.0
20,2,1.0
20,3,0.9999999999999998
20,4,0.9999999999999998
20,5,0.9999999999999998
20,6,1.0
20,7,1.0
20,8,1.0
20,9,0.9999999999999998
20,10,1.0
